"","hashtags","count","frequency"
"132","cancelcompartment",36003,0.00268759134220212
"133","trumpvirus",35910,0.00266660390423312
"134","jeremyvinena",35856,0.00261645891851432
"135","usa",35576,0.00261473495039544
"136","cdnpoli",34907,0.00259419724324006
"137","chinese",34884,0.00258490280642521
"138","masks",34610,0.0025406792764191
"139","cancelcompartmentexams2020",34486,0.00252853654445132
"140","studentlivesmatter",33896,0.00250747415134671
"141","naindiaunitedtopostponejeeneet",33734,0.00245305672289851
"142","postponeneetjeeincovid",33453,0.00242277484811466
"143","breakingnews",32727,0.00242217520702983
"144","studentskemannkibaat",32323,0.00242187538648742
"145","florida",32315,0.00238792071005899
"146","tcot",32311,0.00237045616346336
"147","mannkinahistudentskibaatjeeneet",31858,0.00235314152713893
"148","blacklivesmatter",31625,0.00233807554488261
"149","ccpvirus",31394,0.0023337281470176
"150","ai",31193,0.00233260381998355
"151","kag2020",31135,0.00232578290264362
"152","cancelfinalyearexams",31120,0.00228808046943502
"153","uspostalservice",31029,0.00228778064889261
"154","stayathome",30526,0.00228778064889261
"155","beijing",30522,0.00228590677050252
"156","lisa",30522,0.00226544401848274
"157","pawankalyanbirthdaycdp",30497,0.00223703602208898
"158","studentsdislikepmmodina",30224,0.00223096465610509
"159","nationalsecuritylaw",29845,0.00221492425708592
"160","studentsdislikepmmodi",29764,0.00221342515437385
"161","liftthebanlifttheban",29550,0.00221252569274661
"162","noexamsincovid",29530,0.00220862802569522
"163","pakistan",29518,0.0022039808072878
"164","berlin",29466,0.00219461141533735
"165","rnc2020rnc2020",29404,0.00217879588172499
"166","postponeneetjeena",29279,0.0021684520730117
"167","russia",29068,0.00214026894202475
"168","vaccines",28930,0.00211133625968177
"169","pilots",28554,0.00210833805425762
"170","trumpmadeinchinana",28168,0.00209237261037406
"171","antistudentmodigovtantistudentmodigovt",28128,0.00202011585965221
"172","sopcantsavejeeneet",27915,0.00199890355627639
"173","mannkinahistudentskibaat",26951,0.00199238245947888
"174","jeeneetjeeneet",26668,0.0019844372151049
"175","natrumpmadeinchina",26581,0.00198391252915567
"176","tiktok",26475,0.00198203865076558
"177","bigfightprotestagainstexamslncovid",26468,0.00198053954805351
"178","neetjeepostponekaro",26443,0.00197934026588386
"179","hungerstrikeforstudentssafety",26423,0.00195213155165975
"180","savejeeneetstudentspm",26407,0.00193579133209817
"181","hydroxycholoroquine",26044,0.00192477292716445
"182","naswamyjihelpjeeneet",25826,0.00191652786224805
"183","chinavirus",25679,0.00190835775246726
"184","master",25569,0.00188909428261714
"185","chinesecommunistparty",25460,0.00188744526963386
"186","health",25203,0.00188272309609083
"187","b0108",25181,0.00187387839008961
"188","uyghurs",25118,0.00187312883873358
"189","wearamaskna",25000,0.00186188556839304
"190","cdc",24990,0.0018610610619014
"191","justiceforstudents",24840,0.00185918718351131
"192","foxandfriends",24829,0.00185888736296889
"193","방탄소년단",24804,0.00185768808079924
"194","pleasepostponejeeneetna",24800,0.00185678861917199
"195","indiana",24784,0.00185506465105311
"196","saveneetjeestudentmodiji",24772,0.00185154175967974
"197","speakupforstudentsafetyspeakupforstudentsafety",24749,0.00183235324496523
"198","modijihelpjeeneetna",24702,0.00181623789081046
"199","onev1",24446,0.00181241517889467
"200","iamagainstexamsincovidna",24231,0.00180739318480923
"201","mannkibaat",24180,0.0018024461458594
"202","who",24113,0.00179667460041792
"203","hrdpostponejeeneet",24047,0.00179652469014671
"204","studentsinscforjustice",23970,0.00177913509868668
"205","bigil",23968,0.00177583707272012
"206","neetjeena",23736,0.00173648562652824
"207","wearadamnmask",23692,0.00172816560647624
"208","hkers",23167,0.00172164450967873
"209","surakshabeforeparikshasurakshabeforepariksha",23056,0.00171827152857657
"210","trumpchaos",22969,0.00171452377179639
"211","hk",22924,0.00170972664311776
"212","hyderabad",22874,0.00170365527713387
"213","trump2020na",22810,0.00170140662306576
"214","blackpink",22729,0.00170133166793016
"215","beirut",22699,0.00169188732084411
"216","ntapostponejeeneetntapostponejeeneet",22698,0.00168146855699521
"217","noexamsincovidna",22572,0.00168011936455435
"218","trumpchaosna",22433,0.00167142456882433
"219","mark",22415,0.00165508434926275
