"","hashtags","count","frequency"
"151","vaccines",17757,0.00126996250268228
"152","ableg",17518,0.00126887140711322
"153","cnnsotuna",17459,0.00126705291449811
"154","nahydroxychloroquine",17444,0.00126537990129222
"155","southchinasea",17419,0.00124872250893789
"156","covid19phna",17396,0.00124755867366423
"157","hbdrealherosonusoodna",17167,0.00124239415463734
"158","goyagivesgoyagives",17151,0.00123948456645318
"159","europe",17080,0.0012238455299633
"160","ugcguidelines",17040,0.00120282375533273
"161","america",16825,0.00120064156419461
"162","borisjohnson",16536,0.0011969318392598
"163","uighurs",16506,0.00118645732179682
"164","wakeupamerica",16455,0.00116798143682739
"165","billgates",16311,0.00116514458834783
"166","cancelfinalyearexams",16057,0.00116078020607158
"167","hydroxychloroquineworkshydroxychloroquineworks",16018,0.00113793993882591
"168","quarantine",15958,0.00113132062570694
"169","bts",15644,0.00112484679199718
"170","dobbsna",15553,0.00112113706706237
"171","lisa",15464,0.00111662720537692
"172","noexammhrdna",15413,0.00111386309660196
"173","ccpchina",15351,0.00110346131884358
"174","tibet",15313,0.00109247762344837
"175","warroompandemic",15170,0.00107909351780122
"176","news",15019,0.00107531105316181
"177","savegujaratnre",14835,0.00107480187522958
"178","hapuscovid19",14783,0.00107276516350067
"179","wuhan",14776,0.00107174680763621
"180","onpoli",14748,0.00107138310911319
"181","natruthwithrahulgandhi",14734,0.001064254618062
"182","master",14729,0.00105130695064247
"183","atlstrongna",14631,0.00104694256836623
"184","blackpink",14453,0.00104650613013861
"185","africa",14393,0.00104308736402221
"186","bsnl",14387,0.00103966859790582
"187","saynotougcguidelines",14340,0.00102904860103363
"188","gestapotrumpgestapotrump",14293,0.00102824846428299
"189","staysafena",14147,0.00102577531432645
"190","healthcare",14136,0.00102192010998243
"191","pmqsna",14102,0.00101333682483915
"192","trumpvirustrumpvirus",14049,0.00101319134542995
"193","bigdata",13931,0.00101290038661153
"194","lay",13929,0.00100228038973934
"195","education",13925,0.00100024367801042
"196","hapuscovid19na",13779,0.00100002545889661
"197","lockdownna",13751,0.000999879979487403
"198","7newsna",13748,0.000998716144213738
"199","aaradhyabachchan",13746,0.000994569981051307
"200","andhrapradesh",13730,0.00099318792666383
"201","business",13673,0.000992751488436205
"202","standwithhongkongna",13654,0.000992387789913185
"203","hydroxycholoroquineworkshcq",13648,0.000990642037002688
"204","valimai",13643,0.000988314366455358
"205","humanrights",13619,0.000968310947689241
"206","ladakh",13587,0.000966274235960328
"207","noexamugc",13312,0.000953253828836201
"208","postponeneetandjee",13284,0.000952817390608577
"209","postponekcetna",13105,0.00095179903474412
"210","becausefloridana",13099,0.00094677999512644
"211","covid19pandemic",13085,0.000939287805552222
"212","ohio",13016,0.000930413561590526
"213","huawei",12913,0.000928449589566217
"214","tulsatrumprally",12791,0.000927940411633988
"215","stayhomestaysafe",12764,0.000926121919018887
"216","onpolina",12757,0.000920302742650562
"217","postponejeeneetseptna",12732,0.000918702469149273
"218","noexamsincovid",12652,0.000918193291217044
"219","foxnews",12630,0.000916665757420359
"220","publichealth",12623,0.000912446854553324
"221","sona2020",12602,0.000911719457507283
"222","atmanirbharbharat",12544,0.000906336719366583
"223","covid19malaysiacovid19malaysia",12534,0.000905827541434354
"224","9newsna",12460,0.000901681378271923
"225","eu",12453,0.000898626310678552
"226","covid19aus",12396,0.000894189188697705
"227","cybersecurity",12354,0.00089338905194706
"228","mumbai",12293,0.000891352340218146
"229","31studentsinscforjusticena",12282,0.000890843162285918
"230","xijinping",12254,0.000887642615283339
"231","naamericafirst",12247,0.000885824122668238
"232","chittoor",12203,0.000885096725622197
"233","quarantinelife",12178,0.000884878506508385
"234","blackvoicesfortrump",12168,0.000883932890348532
"235","hbdrealherosonusood",12165,0.00088102330216437
"236","hydrochloroquine",12152,0.000879859466890705
"237","trumptulsa",12112,0.000876077002251294
"238","trump2020landslideblackvoicesfortrump",12096,0.000875713303728274
"239","prabhas",12044,0.00087367659199936
"240","germany",12039,0.000873240153771736
"241","speakupfordemocracyna",12011,0.000872876455248715
"242","justiceforkarnatakastudentsna",12005,0.000870330565587573
"243","tiktok",12000,0.000867639196517223
"244","bloodmattersdelhi",11965,0.000865311525969893
"245","illinois",11928,0.000862256458376523
"246","pandemicna",11896,0.000861601801035086
"247","scamdemicna",11854,0.000860437965761421
"248","nalockdown",11845,0.000858183034918695
"249","breakingnews",11829,0.000857382898168051
"250","postponekcet2020na",11798,0.000857164679054238
"251","karnataka",11787,0.000855637145257553
"252","namedicareforall",11784,0.000854982487916117
"253","张艺兴",11763,0.000854182351165472
"254","technology",11754,0.00085396413205166
"255","mercimack",11743,0.000853673173233244
"256","braylastone",11740,0.00085200016002735
"257","tatianahallna",11736,0.000851490982095122
"258","barc",11713,0.00085127276298131
"259","giveaway",11706,0.000848072215978731
"260","london",11703,0.000845089888089964
"261","covid19sa",11659,0.000842980436656447
"262","bihar",11618,0.000839561670540056
"263","andhrapradeshchittoor",11589,0.000839197972017036
"264","update",11542,0.000839125232312432
"265","biden2020",11537,0.000838397835266391
"266","เยาวชนปลดแอกna",11536,0.000833233316239503
"267","ugccancelexam",11526,0.000832505919193462
"268","covid19uk",11455,0.000831996741261234
"269","love",11445,0.00083032372805534
"270","saturdaymotivation",11438,0.00083032372805534
"271","ccpccp",11415,0.00082996002953232
"272","कोरोनिलविजय",11415,0.000829159892781675
"273","covid19india",11410,0.000827923317803406
"274","gravitasgravitas",11399,0.000827486879575782
"275","examsincovidasuicide",11382,0.000825522907551472
"276","masksnitchna",11376,0.000824868250210036
"277","washyourhands",11349,0.000824359072277808
"278","mtvhottestmtvhottest",11340,0.000823195237004143
"279","trumpfailedamerica",11333,0.00082261331936731
"280","un",11317,0.000821231264979833
"281","studentsinscforjusticena",11309,0.000817885238568046
"282","naccp",11290,0.000816575923885173
"283","disiplinmalaysiaawaninews",11244,0.000816212225362153
"284","brexit",11226,0.000814393732747051
"285","coronavaccinena",11221,0.00081293893865497
