"","hashtags","count","frequency"
"151","postponeneetandjeepostponeneetandjee",17261,0.00128533895374016
"152","cats",17114,0.0012826848615053
"153","wuhan",16950,0.00128063741892412
"154","saveapstudents",16915,0.00128018243168386
"155","covidiots",16888,0.00127836248272281
"156","georgefloydna",16882,0.00127502590962755
"157","russia",16858,0.00126926273791757
"158","suicideawarenessna",16814,0.0012643337094814
"159","gravitasgravitas",16738,0.00125917718742509
"160","restoreoldpensionna",16673,0.00125303485968156
"161","kashmir",16605,0.00124514841418368
"162","antifa",16524,0.00123028549766846
"163","protests2020",16420,0.00122573562526584
"164","najunkterrorbill",16224,0.00122482565078531
"165","mumbai",16164,0.00121928997269546
"166","kcragainststudents",16152,0.00121868332304177
"167","canceltsexamspromotestudentsna",16079,0.00121701503649415
"168","quarantinelife",16071,0.00121383012581231
"169","grandmananita",16049,0.00121352680098547
"170","dhaksha",16007,0.00121216183926469
"171","master",16003,0.00120268293842589
"172","yulindogmeatfestival",15985,0.00120086298946485
"173","youractionssavelives",15860,0.00119881554688367
"174","ajithkumar",15836,0.00119866388447025
"175","brexit",15809,0.00119085327017908
"176","covid19india",15807,0.00118910915242474
"177","tiananmensquaremassacre",15704,0.00118607590415633
"178","kag2020",15681,0.0011800094076195
"179","killercuomona",15641,0.0011696963635069
"180","junkterrorbillnowna",15561,0.00116651145282507
"181","chinesevirus",15425,0.00116590480317138
"182","masks",15383,0.00116469150386402
"183","hongkonghongkong",15375,0.00116082411232179
"184","tiktok",15359,0.00116006580025469
"185","babetrayal",15308,0.00115589508388562
"186","lockdownlockdown",15298,0.00114065301133684
"187","alterpinoy",15243,0.00113663395738119
"188","healthcare",15042,0.00113413152755975
"189","tibet",14989,0.00111896528621769
"190","nalockdown",14956,0.00111873779259755
"191","awaninews",14756,0.00111456707622849
"192","news",14753,0.00111153382796007
"193","段宜恩",14698,0.00110895556693192
"194","foxandfriends",14658,0.00110577065625009
"195","indiafightscoronana",14624,0.00109598843058445
"196","uyghur",14582,0.00109439597524354
"197","wuhanvirus",14453,0.0010926518574892
"198","standwithhongkong",14432,0.00109113523335499
"199","indiachinafaceoffna",14409,0.00108514456802488
"200","marktuan",14389,0.00107695479770016
"201","love",14310,0.0010728599125378
"202","obamagate",14202,0.00106876502737544
"203","economy",14148,0.00106338101169901
"204","mondaythoughts",14094,0.0010507930313851
"205","climatechange",14023,0.00104662231501603
"206","bloodmattersdelhi",13857,0.00104647065260261
"207","justiciaparagiovanni",13802,0.0010427549234738
"208","chennai",13800,0.00104032832485907
"209","wearamaskna",13751,0.00103737090779737
"210","japan",13719,0.00103486847797593
"211","dispatchesdispatches",13680,0.00103297269780817
"212","bengalagainstexam",13647,0.00103213855453435
"213","giveaway",13622,0.00103168356729409
"214","pmqsna",13611,0.00103122858005383
"215","education",13605,0.00102819533178542
"216","odisha",13599,0.00102796783816529
"217","noexamsincovid",13559,0.00102174967921504
"218","boycottmadeinchina",13556,0.00101886809336005
"219","resist",13474,0.0010185647685332
"220","releasecebu7",13436,0.00101788228767281
"221","junkterrorbill",13432,0.00101378740251045
"222","worldenvironmentday",13423,0.00101037499820849
"223","modi",13369,0.00100779673718034
"224","tsnsuiforstudentsna",13324,0.00100377768322469
"225","riots",13290,0.000998014511514703
"226","yemen",13237,0.000996194562553655
