"","hashtags","count","frequency"
"157","delhi",32823,0.00418943290052087
"158","publichealth",32699,0.00417631399357791
"159","aprilfoolsday",32573,0.00408898323069289
"160","maharashtra",32471,0.00408692536293713
"161","coronavirusindia",31792,0.004060301698847
"162","wetmarkets",31776,0.00405837244782598
"163","vaccines",31569,0.00404679694169983
"164","qanon2020",31554,0.00403547866904316
"165","mumbai",31464,0.00402055912781391
"166","covid19lagos",31376,0.00400949808862671
"167","gujarat",31260,0.00400023768372579
"168","thailand",31174,0.0039984370494395
"169","coronalockdown",31102,0.00395843724493694
"170","news",31088,0.00395483597636436
"171","clapforourcarers",30777,0.00393335698166363
"172","qanon2018",30749,0.00391342138777971
"173","wetmarketsna",30582,0.00390030248083675
"174","saudiarabia",30427,0.00389309994369159
"175","tedros",30325,0.00388358230532121
"176","clapforcarers",30269,0.00385438630653638
"177","coronavirustruth",30195,0.00384924163714698
"178","cybersecurity",29968,0.00383342177877459
"179","brazil",29928,0.0038268623253031
"180","nachina",29805,0.00380615503101078
"181","thala",29754,0.00374969228446215
"182","syria",29593,0.00374686271629798
"183","trumppressbriefing",29154,0.00373760231139706
"184","swasthabharat",29132,0.00373310072568134
"185","washyourhands",29060,0.00372602680527092
"186","lockdowneffect",29025,0.00371072141383746
"187","ajith",28970,0.00369400123832192
"188","stayhomesaveliveslockdown",28851,0.00368782763505465
"189","michigan",28721,0.00365631653504459
"190","icu",28673,0.00364486964565318
"191","nhsheroes",28428,0.00363998220973325
"192","healthforalltogetherathome",28339,0.00363136488850601
"193","chinesevirusna",28301,0.00361155791135683
"194","nurses",28234,0.00360757079258005
"195","stpiindia",28080,0.00359033615012557
"196","doctors",28049,0.00358326222971515
"197","trumppressconfna",27915,0.00353310170316852
"198","resist",27860,0.00352654224969704
"199","movementcontrolorder",27470,0.00350210507009741
"200","n95",27419,0.00349953273540271
"201","malaysiacovid19",27229,0.00349142988111441
"202","tamilnadu",27209,0.00348139777580508
"203","stopthespread",27146,0.00347676757335463
"204","indiafightscoronavirus",27068,0.0034744524721294
"205","onevoice1",27032,0.00346506345049375
"206","nizamuddin",27014,0.00343046554885005
"207","chloroquine",26941,0.00343020831538058
"208","beijing",26672,0.00342146237741861
"209","odishafightscorona",26670,0.0033831345904676
"210","thalapathyvijay",26602,0.00337773268760873
"211","nachinesevirus",26304,0.00337323110189301
"212","ppenow",26262,0.00336924398311622
"213","confinement",26227,0.003366928881891
"214","ridge",26196,0.00335766847699008
"215","covidiot",26178,0.00335046593984492
"216","biden",26106,0.00334969423943651
"217","nhsna",26050,0.00333593224881988
"218","trumpburialpits",26044,0.00332988726228734
"219","venezuela",25937,0.00330917996799501
"220","staysafena",25890,0.00330789380064766
"221","stayathomena",25729,0.00330300636472774
"222","thankyou",25719,0.00330094849697198
"223","nwo",25681,0.00328024120267965
"224","earthday2020",25665,0.00327779748471969
"225","payusviabvn",25504,0.00326699367900195
"226","america",25485,0.00326210624308203
"227","whitehousepressbriefing",25401,0.00324512883409702
"228","reopenamerica",25363,0.00323972693123815
"229","telangana",25231,0.00320667243041127
"230","breakingnews",25189,0.00318017738305588
"231","tedrosresign",24932,0.00316242827366246
"232","legitstories",24726,0.00313529014263339
"233","wuhancoronavirus",24588,0.00313413259202077
"234","singapore",24377,0.00312641558793668
"235","worldhealthdayna",24368,0.00310673722752223
"236","firefauci",24308,0.00308512961608676
"237","covid19canada",24155,0.00305181788179042
"238","ireland",23987,0.00304885969689151
"239","new",23728,0.00303046750382442
"240","txlege",23705,0.00301837753075934
"241","masks4all",23562,0.00301490487892149
"242","selfisolation",23468,0.00300924574259316
"243","icymi",23441,0.00300191458871326
"244","food",23397,0.00299239695034288
"245","un",23340,0.00298892429850504
"246","georgia",23266,0.00298828121483136
"247","australia",23239,0.00298609473034087
"248","filmyourhospital",23234,0.00295869936584233
"249","saturdaythoughts",23217,0.00295767043196445
"250","police",23004,0.00294802417685933
"251","racism",22996,0.00294133610665311
"252","cnn",22921,0.00293657728746792
"253","lockdownsa",22869,0.0029265451821586
"254","electiondayna",22832,0.00291496967603245
"255","modi",22754,0.0029077671388873
"256","testing",22664,0.00290133630215055
"257","mondaymotivation",22608,0.00289979290133373
"258","solidarity",22558,0.00289850673398638
