"","hashtags","count","frequency"
"155","assamcovidcount",16638,0.00147937702266965
"156","inthistogether",16584,0.00147875077453475
"157","giveaway",16536,0.00147866131051548
"158","quarantinelife",16529,0.00147561953386025
"159","internationalnursesday",16528,0.00147007276466543
"160","chinavirus",16494,0.00146819402026074
"161","canada",16432,0.00146720991604875
"162","covid1948",16411,0.00145969493842997
"163","qanonna",16400,0.00145012228836794
"164","usnavy",16316,0.00144904872013669
"165","california",16209,0.00144824354396325
"166","business",16197,0.00143723946959288
"167","germany",16188,0.00142999288403191
"168","strongertogether",16065,0.00142856145972357
"169","chinachina",15984,0.0014278457475694
"170","mondaythoughts",15968,0.00142095701808551
"171","marrna",15960,0.00140780580725263
"172","nyc",15883,0.00140592706284794
"173","flattenthecurve",15736,0.00139966458149895
"174","txlegena",15715,0.00139841208522915
"175","eidmubarak",15645,0.00139742798101717
"176","liberty",15631,0.00137899839304729
"177","russia",15620,0.00137380947992955
"178","dogcatmeattrade",15414,0.00136736807054202
"179","dudukrumah",15356,0.00136593664623368
"180","wetmarkets",15284,0.00136110558919303
"181","nacostco",15268,0.00135994255694251
"182","mumbai",15214,0.00135260650736226
"183","cardiovascular",15201,0.00134491260170493
"184","wwg1wgaworldwide",15119,0.00134348117739659
"185","obamagatena",15033,0.00134088672083773
"186","migrantworkers",15017,0.00133954476054866
"187","xijinping",14988,0.00133310335116113
"188","trumpvirus",14973,0.0013300615745059
"189","unitedagainstcoronavirus",14901,0.00132836175813975
"190","report",14867,0.00132317284502202
"191","covidiot",14848,0.00131861018003918
"192","lockdown4",14790,0.00131619465151886
"193","naoann",14739,0.00130626414537975
"194","italy",14712,0.00130617468136048
"195","foxnews",14601,0.00130161201637764
"196","killercuomona",14600,0.00128810294946768
"197","beijing",14549,0.00128023011577181
"198","iot",14398,0.00127879869146347
"199","nhsna",14310,0.00127548852275043
"200","kayburley",14294,0.00127334138628792
"201","cats",14257,0.00127137317786395
"202","cybersecurity",14233,0.00126144267172484
"203","wuhancoronavirus",14211,0.00126099535162849
"204","srilanka",14100,0.00126027963947432
"205","icymi",14095,0.0012593849992816
"206","plagueofcorruption",14087,0.00125491179831804
"207","standwithhk",14077,0.00125294358989407
"208","ladakh",14027,0.00125106484548938
"209","ableg",14005,0.00124453397208257
"210","5g",13984,0.00124265522767788
"211","n95",13911,0.00124158165944662
"212","hcq",13890,0.00123845041877213
"213","memorialday",13878,0.00123531917809763
"214","banyulin",13843,0.00123433507388565
"215","chinesevirus",13808,0.00123433507388565
"216","nigeria",13797,0.00122690956028613
"217","publichealth",13797,0.00122163118314913
"218","michigan",13714,0.00121876833453245
"219","morningjoe",13655,0.00121760530228192
"220","physicaldistancing",13623,0.00120669069193083
"221","kashmir",13610,0.00120159124283237
"222","nathelastdance",13488,0.0011971180418688
"223","democrats",13431,0.00119470251334848
"224","newyork",13381,0.00119327108904014
"225","israel",13354,0.00118835056798022
"226","webinar",13338,0.00118235647868904
"227","wethepeople",13283,0.0011821775506505
"228","saturdaythoughts",13216,0.00117341007676192
"229","50swomen",13214,0.00116965258795252
"230","chloroquine",13116,0.00116857901972127
"231","love",13074,0.00116374796268062
"232","babetrayal",13062,0.00116312171454572
"233","update",13008,0.00115524888084985
"234","america",13001,0.0011541753126186
"235","indiafightscoronavirus",12913,0.0011491653275394
"236","lka",12901,0.00114782336725034
"237","voteredtosaveamerica",12845,0.00114594462284564
"238","bigdata",12830,0.00114397641442167
"239","tanzania",12809,0.00114173981393989
"240","yemen",12787,0.0011283202110492
"241","pandemicna",12762,0.00112805181899139
"242","foxnewsna",12612,0.00112000005725697
"243","nachinesevirus",12609,0.00111883702500645
"244","covid19ukna",12519,0.00111660042452466
"245","nastayhome",12506,0.00111507953619705
"246","maythe4th",12481,0.0011146322161007
"247","technology",12464,0.00111284293571527
"248","ccpchina",12459,0.00111230615159964
"249","mask",12439,0.00110863812680952
"250","indianarmy",12433,0.00109378709961049
"251","palestine",12392,0.00108985068276256
"252","newsnightna",12226,0.00108430391356774
"253","japan",12182,0.00107142109479268
"254","machinelearning",12120,0.00106757414196401
"255","fakenewsfakenews",11976,0.00106551646952077
"256","trumphasnoplanna",11933,0.00106005916434522
"257","saudiarabia",11910,0.00105594381945875
"258","onevoice1",11849,0.0010479815217436
"259","lockdown2020",11803,0.0010427031446066
"260","tech",11714,0.00104154011235607
"261","tamilnadu",11655,0.00103903511981648
"262","stpiindia",11642,0.00103831940766231
"263","live",11614,0.00103724583943105
"264","openamericanow",11606,0.00103653012727688
"265","datascience",11594,0.00103563548708417
"266","healthcareheroes",11586,0.00103053603798571
"267","syria",11576,0.00102955193377372
"268","naobamagate",11519,0.00102311052438619
"269","chinaliedpeopledied",11508,0.00102284213232838
"270","naglee",11436,0.00102087392390441
"271","saveprisonersgrantparolena",11433,0.00101944249959607
"272","naminneapolisriot",11411,0.00101273269815073
"273","europe",11395,0.00100629128876319
"274","covidiotsna",11320,0.00100342844014651
"275","chennai",11248,0.000999223631240764
"276","wearethepeople",11216,0.000991798117641249
"277","tablighijamaat",11169,0.000991708653621978
"278","wakeupamerica",11086,0.00099045615735218
"279","lockdownlockdown",11085,0.000985982956388617
"280","nepal",11071,0.000984283140022463
"281","backto60",11021,0.000983209571791207
"282","hiv",11002,0.000982136003559952
"283","spain",10990,0.000979988867097442
"284","mentalhealthawarenessweek",10978,0.000979541547001085
"285","madagascar",10954,0.000979183690924001
"286","ontario",10949,0.000978915298866187
"287","usnscomfortusnavy",10945,0.000973189601632826
"288","heelsupharris",10942,0.000970505681054688
"289","nitwitwuhancoronavirus",10878,0.00096782176047655
"290","nastayalert",10848,0.000965316767936954
"291","lockdownindia",10818,0.000961022495011934
"292","magana",10790,0.000955386261797844
"293","nahongkong",10742,0.000952612877200435
"294","gop",10679,0.000949123780448855
"295","nature",10648,0.000948139676236871
"296","naanonymous",10609,0.0009480502122176
"297","innovation",10598,0.000944740043504563
"298","sarscov2sarscov2",10597,0.000942950763119138
"299","mondaymotivation",10560,0.000940445770579543
"300","greatawakening",10540,0.000936509353731607
"301","eid",10512,0.000931946688748772
"302","staysafena",10468,0.000929531160228448
"303","onevoice1na",10417,0.000929531160228448
"304","deepstate",10390,0.000928010271900837
"305","reopenamerica",10390,0.000927920807881565
"306","lockdown3",10373,0.000922821358783103
"307","stopthespread",10372,0.000922731894763832
"308","bbc",10315,0.000919153333992981
"309","sarscov2na",10314,0.000918258693800269
"310","nurses",10274,0.000915574773222131
"311","endthelockdown",10264,0.000912980316663264
"312","eidulfitr",10234,0.000912890852643993
"313","science",10205,0.000908149259622616
"314","familiesfirstna",10204,0.00090421284277468
"315","defendpressfreedomna",10151,0.000902870882485611
"316","nausnscomfort",10107,0.000896876793194436
"317","wwg1wgana",10092,0.000896518937117351
"318","weareinthistogether",10025,0.000893208768404314
"319","stayathomesavelives",10021,0.000891687880076703
"320","janasevabyjanasenana",9984,0.000891419488018889
"321","podcast",9967,0.000880415413648523
"322","washyourhands",9964,0.000879162917378726
"323","vote",9841,0.000876478996800588
"324","leadership",9827,0.000876478996800588
"325","cancer",9797,0.000875673820627146
"326","stayathomestayathome",9797,0.000875494892588604
"327","beatthevirusna",9788,0.000873974004260992
"328","biden2020",9786,0.000872005795837024
"329","nakillercuomo",9769,0.000869321875258886
"330","texas",9747,0.000868964019181801
"331","research",9717,0.00086744313085419
"332","data",9713,0.000866280098603664
"333","breakingnews",9696,0.000865832778507307
"334","trumpownseverydeathna",9683,0.000864580282237509
"335","handwashing",9678,0.000864043498121882
"336","trumpresignnowna",9664,0.000860912257447388
"337","helpfultipstobeatcoronahelpfultipstobeatcorona",9658,0.000860286009312489
"338","bitcoin",9623,0.000857781016772893
"339","socialdistancingna",9616,0.000851250143366091
"340","kerala",9588,0.000849371398961394
"341","mayday",9515,0.000849013542884309
"342","wearamask",9494,0.000848566222787953
"343","contacttracing",9490,0.000847492654556698
"344","ahmedabad",9485,0.000846508550344714
"345","uganda",9473,0.000846419086325443
"346","qarmy",9462,0.000844271949862932
"347","healthy",9461,0.000841051245169167
"348","vaccinesna",9437,0.000833625731569652
"349","migrants",9401,0.00083353626755038
"350","nih",9318,0.00083138913108787
"351","telangana",9317,0.000831210203049327
"352","water",9293,0.0008306734189337
"353","naqanon",9291,0.000827094858162849
"354","trumpliespeopledie",9285,0.000826826466105035
"355","ahmaudarbery",9245,0.000824947721700339
"356","retweet",9242,0.00081868524035135
"357","travel",9221,0.000816180247811755
"358","100daysofcode",9151,0.000816090783792484
"359","cashappwisdom",9123,0.000814212039387787
"360","freedom",9122,0.000813317399195074
"361","cuba",9101,0.000812512223021633
"362","coronariskinjailna",9091,0.000810722942636208
"363","pmqsna",9082,0.000810722942636208
"364","climateaction",9062,0.000809738838424224
"365","onpolina",9062,0.000806160277653373
"366","donaldtrump",9051,0.000804192069229405
"367","realdonaldtrump",9011,0.000804192069229405
"368","stayalertstayalert",8989,0.000803297429036693
"369","theresistance",8989,0.00080311850099815
"370","stayathomena",8979,0.000801776540709081
"371","media",8977,0.000801329220612725
"372","masks4all",8962,0.000798466371996044
"373","food",8957,0.000794351027109566
"374","nafoxnews",8925,0.000793456386916853
"375","gravitasgravitas",8879,0.000790861930357987
"376","children",8869,0.000790683002319444
"377","indiafightscovid19",8840,0.000790325146242359
"378","trumpliesamericansdie",8838,0.000790235682223088
"379","trump2020na",8834,0.000786746585471508
"380","metoo",8833,0.000786567657432966
"381","startups",8794,0.000780305176083977
"382","आशारामजीआश्रमोंद्वाराकोरोनासेवाna",8792,0.000779499999910536
"383","fintech",8722,0.00077905267981418
"384","smoking",8713,0.000776547687274584
"385","covid19sa",8708,0.00077270073444592
"386","ohio",8680,0.000771000918079766
"387","twgrp",8637,0.000768943245636527
"388","medtwitter",8618,0.00076849592554017
"389","georgia",8595,0.000767690749366729
"390","ireland",8590,0.000767243429270373
"391","herdimmunity",8581,0.000765901468981304
"392","bangladesh",8576,0.000765543612904219
"393","music",8561,0.000763664868499522
